idSocios;Nombre;Edad;Equipo;EstadoCivil;Estudios
141;Martín;20;Newells;Soltero;Secundario
142;Adrián;39;Independiente;Casado;Universitario
143;Mauro;33;Independiente;Soltero;Universitario
144;Javier;27;Racing;Casado;Universitario
145;Santiago;59;Estudiantes;Soltero;Terciario
146;Alejo;67;Rosario Central;Casado;Secundario
147;Federico;54;Independiente;Soltero;Universitario
148;Enrique;69;San Lorenzo;Casado;Terciario
149;Alejo;41;River;Soltero;Terciario
150;Santiago;24;Velez;Casado;Secundario
151;Yago;69;Estudiantes;Casado;Secundario
152;Enrique;55;Independiente;Soltero;Secundario
153;Anibal;66;Huracán;Casado;Terciario
154;Juan;60;San Lorenzo;Soltero;Terciario
155;Santiago;22;Huracán;Casado;Terciario
156;Yago;68;Gimnasia LP;Casado;Secundario
157;Daniel;38;Newells;Casado;Terciario
158;Martín;46;River;Casado;Terciario
159;Daniel;31;Estudiantes;Soltero;Universitario
160;Matías;38;Huracán;Soltero;Universitario
161;Martín;37;Velez;Casado;Terciario
162;Santiago;56;Boca;Casado;Secundario
163;Juan;50;Gimnasia LP;Casado;Terciario
164;Alejo;67;Boca;Soltero;Secundario
165;Federico;31;Estudiantes;Casado;Universitario
166;Anibal;22;Boca;Casado;Universitario
167;Marcelo;37;Huracán;Soltero;Terciario
168;Marcelo;34;Velez;Casado;Terciario
169;Marcelo;48;San Lorenzo;Casado;Secundario
170;Alejo;34;Rosario Central;Casado;Universitario
171;Marcelo;58;Racing;Casado;Secundario
172;Luis;46;Racing;Casado;Terciario
173;Adrián;67;Gimnasia LP;Casado;Universitario
174;Enrique;66;Gimnasia LP;Soltero;Secundario
175;Matías;62;Estudiantes;Casado;Universitario
176;Martín;25;Velez;Casado;Terciario
177;Federico;19;River;Soltero;Universitario
178;Enrique;51;Huracán;Soltero;Universitario
179;Alejandro;40;Velez;Soltero;Secundario
180;Martín;32;River;Soltero;Terciario
181;Alejo;41;Estudiantes;Casado;Secundario
182;Luis;47;Estudiantes;Soltero;Secundario
183;Mauro;30;Boca;Casado;Universitario
184;Agustín;41;San Lorenzo;Casado;Terciario
185;Fernando;41;Estudiantes;Soltero;Terciario
186;Nicolás;37;Newells;Casado;Terciario
187;Enrique;34;San Lorenzo;Casado;Terciario
188;Adrián;29;San Lorenzo;Casado;Universitario
189;Matías;37;River;Soltero;Terciario
190;Mauro;66;Racing;Casado;Secundario
191;Mauro;61;Rosario Central;Casado;Terciario
192;Fernando;69;San Lorenzo;Soltero;Terciario
193;Anibal;47;Estudiantes;Casado;Terciario
194;Agustín;23;Newells;Soltero;Secundario
195;Marcelo;20;Estudiantes;Casado;Terciario
196;Matías;56;San Lorenzo;Casado;Universitario
197;Alejo;56;Newells;Soltero;Terciario
198;Luis;59;Rosario Central;Casado;Universitario
199;Martín;69;Racing;Soltero;Terciario
200;Federico;51;River;Soltero;Universitario
201;Enrique;32;Racing;Casado;Secundario
202;Martín;52;Huracán;Casado;Terciario
203;Yago;32;Racing;Soltero;Universitario
204;Yago;47;River;Casado;Terciario
205;Mauro;49;Racing;Soltero;Secundario
206;Yago;56;Huracán;Casado;Secundario
207;Marcelo;28;San Lorenzo;Soltero;Universitario
208;Martín;60;Newells;Casado;Terciario
209;Anibal;55;Independiente;Casado;Terciario
210;Fernando;36;River;Casado;Terciario
211;Anibal;60;Racing;Casado;Universitario
212;Mauro;61;Rosario Central;Soltero;Secundario
213;Enrique;33;Velez;Soltero;Terciario
214;Santiago;58;River;Soltero;Secundario
215;Yago;70;Huracán;Soltero;Universitario
216;Juan;70;Estudiantes;Casado;Secundario
217;Fernando;22;Estudiantes;Soltero;Terciario
218;Nicolás;25;Boca;Casado;Terciario
219;Federico;38;Rosario Central;Casado;Universitario
220;Adrián;34;Boca;Soltero;Universitario
221;Agustín;26;Gimnasia LP;Soltero;Secundario
222;Matías;34;Gimnasia LP;Soltero;Terciario
223;Anibal;52;Newells;Casado;Terciario
224;Nicolás;32;Independiente;Soltero;Terciario
225;Matías;39;Velez;Soltero;Secundario
226;Nicolás;66;Rosario Central;Soltero;Terciario
227;Mariano;31;Estudiantes;Casado;Secundario
228;Luis;68;Estudiantes;Casado;Terciario
229;Nicolás;18;Velez;Casado;Universitario
230;Marcelo;20;Huracán;Soltero;Universitario
231;Alejandro;45;Huracán;Casado;Terciario
232;Adrián;49;Rosario Central;Soltero;Terciario
233;Santiago;27;Gimnasia LP;Casado;Secundario
234;Daniel;38;Boca;Casado;Secundario
235;Agustín;70;Gimnasia LP;Soltero;Secundario
236;Juan;54;Racing;Casado;Terciario
237;Mariano;67;Estudiantes;Soltero;Terciario
238;Martín;28;Racing;Soltero;Universitario
239;Agustín;23;Huracán;Soltero;Secundario
240;Agustín;25;Racing;Casado;Universitario
241;Fernando;58;Independiente;Casado;Terciario
242;Alejandro;22;Velez;Casado;Universitario
243;Enrique;35;San Lorenzo;Soltero;Terciario
244;Federico;28;Rosario Central;Casado;Secundario
245;Agustín;21;Newells;Casado;Universitario
246;Martín;55;River;Soltero;Universitario
247;Alejandro;43;Velez;Casado;Terciario
248;Santiago;69;Estudiantes;Casado;Terciario
249;Adrián;49;Huracán;Casado;Secundario
250;Yago;63;Racing;Casado;Secundario
251;Adrián;35;River;Soltero;Universitario
252;Fernando;31;San Lorenzo;Soltero;Terciario
253;Agustín;62;Huracán;Soltero;Terciario
254;Fernando;34;Rosario Central;Soltero;Terciario
255;Yago;58;River;Soltero;Terciario
256;Federico;57;River;Soltero;Terciario
257;Adrián;62;Estudiantes;Soltero;Universitario
258;Mariano;43;San Lorenzo;Soltero;Terciario
259;Matías;45;Racing;Soltero;Terciario
260;Yago;24;Independiente;Casado;Terciario
261;Matías;29;Estudiantes;Casado;Secundario
262;Agustín;49;Boca;Casado;Terciario
263;Enrique;35;Racing;Casado;Universitario
264;Federico;29;Newells;Casado;Universitario
265;Adrián;22;Huracán;Soltero;Universitario
266;Enrique;30;Independiente;Soltero;Universitario
267;Alejo;60;Boca;Soltero;Secundario
268;Fernando;20;Racing;Casado;Universitario
269;Anibal;56;Rosario Central;Soltero;Secundario
270;Juan;49;Velez;Soltero;Universitario
271;Martín;47;Racing;Casado;Terciario
272;Enrique;25;Independiente;Casado;Terciario
273;Nicolás;21;River;Casado;Universitario
274;Alejo;45;Rosario Central;Casado;Universitario
275;Javier;24;Independiente;Soltero;Universitario
276;Adrián;61;Newells;Casado;Secundario
277;Enrique;18;Huracán;Soltero;Secundario
278;Mariano;25;Racing;Soltero;Secundario
279;Daniel;70;Independiente;Soltero;Secundario
280;Daniel;18;Huracán;Soltero;Terciario
281;Federico;34;River;Soltero;Universitario
282;Adrián;39;San Lorenzo;Casado;Terciario
283;Adrián;32;River;Soltero;Universitario
284;Luis;69;River;Casado;Secundario
285;Adrián;27;River;Casado;Universitario
286;Alejandro;20;Huracán;Casado;Terciario
287;Marcelo;63;Estudiantes;Casado;Terciario
288;Daniel;59;Huracán;Casado;Terciario
289;Agustín;54;River;Casado;Terciario
290;Daniel;58;Estudiantes;Soltero;Universitario
291;Mauro;34;Racing;Soltero;Secundario
292;Agustín;63;Boca;Casado;Secundario
293;Luis;22;Velez;Soltero;Secundario
294;Yago;34;San Lorenzo;Casado;Universitario
295;Matías;42;Racing;Soltero;Secundario
296;Alejo;61;Estudiantes;Soltero;Secundario
297;Enrique;60;Huracán;Casado;Universitario
298;Matías;34;River;Casado;Universitario
299;Federico;22;Racing;Soltero;Secundario
300;Mauro;19;Boca;Soltero;Secundario
301;Santiago;28;Rosario Central;Soltero;Universitario
302;Anibal;42;Huracán;Soltero;Secundario
303;Mariano;54;Velez;Soltero;Secundario
304;Javier;51;Boca;Soltero;Secundario
305;Agustín;49;Boca;Soltero;Terciario
306;Marcelo;65;Huracán;Soltero;Secundario
307;Juan;70;River;Soltero;Terciario
308;Agustín;56;Gimnasia LP;Casado;Universitario
309;Luis;56;River;Casado;Secundario
310;Adrián;61;Gimnasia LP;Casado;Universitario
311;Daniel;45;Velez;Soltero;Secundario
312;Mauro;33;River;Casado;Terciario
313;Mariano;54;Racing;Casado;Universitario
314;Anibal;44;Estudiantes;Casado;Secundario
315;Mariano;44;Independiente;Casado;Secundario
316;Alejandro;33;Huracán;Soltero;Terciario
317;Mauro;62;Velez;Soltero;Secundario
318;Enrique;43;San Lorenzo;Soltero;Terciario
319;Mauro;30;Gimnasia LP;Soltero;Terciario
320;Fernando;69;Boca;Casado;Universitario
321;Daniel;61;Velez;Soltero;Universitario
322;Fernando;19;Newells;Soltero;Universitario
323;Santiago;33;Independiente;Soltero;Terciario
324;Enrique;61;Newells;Soltero;Terciario
325;Mauro;48;Boca;Casado;Universitario
326;Martín;24;Huracán;Soltero;Secundario
327;Luis;58;Velez;Casado;Secundario
328;Juan;66;Racing;Casado;Secundario
329;Daniel;64;Huracán;Casado;Universitario
330;Mariano;56;Velez;Casado;Universitario
331;Javier;52;Newells;Soltero;Universitario
332;Javier;27;Rosario Central;Casado;Terciario
333;Agustín;50;San Lorenzo;Casado;Secundario
334;Mauro;38;Gimnasia LP;Casado;Terciario
335;Alejo;23;Newells;Soltero;Universitario
336;Mauro;35;Velez;Soltero;Terciario
337;Yago;33;San Lorenzo;Soltero;Universitario
338;Daniel;20;Racing;Casado;Secundario
339;Anibal;35;River;Casado;Secundario
340;Daniel;50;Racing;Soltero;Terciario
341;Martín;60;Gimnasia LP;Soltero;Terciario
342;Daniel;59;San Lorenzo;Soltero;Universitario
343;Alejo;45;Newells;Soltero;Secundario
344;Fernando;50;Velez;Soltero;Secundario
345;Santiago;43;Velez;Soltero;Secundario
346;Mariano;39;Gimnasia LP;Soltero;Terciario
347;Daniel;57;Gimnasia LP;Casado;Secundario
348;Mauro;61;Estudiantes;Soltero;Secundario
349;Yago;45;Racing;Soltero;Universitario
350;Nicolás;68;San Lorenzo;Casado;Secundario
351;Mariano;60;Boca;Soltero;Terciario
352;Juan;45;Newells;Soltero;Universitario
353;Nicolás;48;Racing;Casado;Universitario
354;Daniel;62;Boca;Casado;Universitario
355;Daniel;66;Rosario Central;Casado;Universitario
356;Javier;70;Newells;Casado;Universitario
357;Santiago;18;Gimnasia LP;Soltero;Secundario
358;Yago;42;Estudiantes;Soltero;Terciario
359;Anibal;53;Gimnasia LP;Soltero;Secundario
360;Fernando;56;Boca;Soltero;Secundario
361;Federico;65;Racing;Soltero;Secundario
362;Alejandro;24;River;Casado;Terciario
363;Fernando;66;San Lorenzo;Casado;Universitario
364;Marcelo;22;Gimnasia LP;Soltero;Universitario
365;Martín;32;Rosario Central;Casado;Terciario
366;Nicolás;30;Huracán;Casado;Terciario
367;Yago;24;River;Soltero;Universitario
368;Alejo;40;Velez;Soltero;Universitario
369;Alejo;30;Rosario Central;Soltero;Secundario
370;Mauro;37;Newells;Casado;Universitario
371;Martín;59;Racing;Casado;Terciario
372;Federico;41;Velez;Casado;Universitario
373;Javier;20;San Lorenzo;Casado;Secundario
374;Mariano;65;Gimnasia LP;Casado;Secundario
375;Nicolás;34;Estudiantes;Casado;Terciario
376;Juan;39;Racing;Casado;Secundario
377;Juan;62;San Lorenzo;Soltero;Secundario
378;Martín;61;River;Casado;Universitario
379;Mariano;39;Huracán;Soltero;Secundario
380;Agustín;69;Newells;Casado;Universitario
381;Anibal;45;Velez;Casado;Secundario
382;Yago;61;San Lorenzo;Casado;Terciario
383;Matías;39;San Lorenzo;Soltero;Secundario
384;Santiago;59;Huracán;Casado;Universitario
385;Mariano;27;San Lorenzo;Casado;Universitario
386;Marcelo;57;Boca;Casado;Secundario
387;Matías;38;Rosario Central;Casado;Universitario
388;Fernando;35;Independiente;Soltero;Secundario
389;Fernando;45;Boca;Casado;Terciario
390;Alejandro;65;Gimnasia LP;Soltero;Terciario
391;Mauro;18;Rosario Central;Soltero;Terciario
392;Nicolás;26;Huracán;Soltero;Secundario
393;Juan;27;Velez;Soltero;Terciario
394;Yago;22;Independiente;Soltero;Universitario
395;Nicolás;54;San Lorenzo;Soltero;Universitario
396;Anibal;55;Velez;Casado;Terciario
397;Agustín;19;San Lorenzo;Soltero;Terciario
398;Javier;18;River;Casado;Universitario
399;Javier;23;Boca;Soltero;Universitario
400;Anibal;34;Racing;Casado;Secundario
401;Fernando;33;Huracán;Casado;Universitario
402;Matías;61;Newells;Casado;Universitario
403;Yago;49;Independiente;Soltero;Terciario
404;Santiago;53;Rosario Central;Soltero;Terciario
405;Agustín;59;Gimnasia LP;Casado;Secundario
406;Federico;69;San Lorenzo;Casado;Terciario
407;Agustín;33;Rosario Central;Soltero;Secundario
408;Marcelo;46;Huracán;Casado;Terciario
409;Fernando;60;Huracán;Soltero;Universitario
410;Enrique;58;Velez;Soltero;Terciario
411;Mariano;21;Velez;Casado;Universitario
412;Juan;63;Estudiantes;Soltero;Universitario
413;Javier;29;Newells;Soltero;Secundario
414;Yago;47;Velez;Soltero;Secundario
415;Juan;20;Huracán;Soltero;Terciario
416;Alejo;19;Gimnasia LP;Soltero;Terciario
417;Adrián;54;Newells;Soltero;Universitario
418;Federico;35;Huracán;Casado;Universitario
419;Juan;51;Huracán;Soltero;Terciario
420;Agustín;23;Racing;Soltero;Secundario
421;Mauro;36;Velez;Soltero;Terciario
422;Fernando;48;Gimnasia LP;Casado;Terciario
423;Federico;40;Estudiantes;Casado;Secundario
424;Luis;63;Boca;Casado;Universitario
425;Santiago;33;Racing;Casado;Secundario
426;Federico;65;San Lorenzo;Casado;Secundario
427;Juan;42;Independiente;Casado;Universitario
428;Yago;54;Gimnasia LP;Casado;Universitario
429;Agustín;46;Racing;Casado;Secundario
430;Adrián;36;Boca;Soltero;Universitario
431;Javier;63;Racing;Casado;Secundario
432;Javier;26;Racing;Casado;Secundario
433;Luis;24;Rosario Central;Casado;Terciario
434;Anibal;54;Newells;Soltero;Secundario
435;Agustín;41;Newells;Soltero;Secundario
436;Nicolás;34;River;Soltero;Universitario
437;Santiago;55;Boca;Soltero;Terciario
438;Daniel;35;River;Casado;Terciario
439;Matías;52;Velez;Soltero;Universitario
440;Alejo;40;Velez;Casado;Universitario
441;Yago;54;Velez;Soltero;Terciario
442;Matías;49;Velez;Soltero;Secundario
443;Fernando;22;Huracán;Casado;Universitario
444;Agustín;51;Velez;Soltero;Terciario
445;Matías;27;Independiente;Soltero;Terciario
446;Anibal;64;Boca;Casado;Secundario
447;Santiago;35;San Lorenzo;Casado;Universitario
448;Anibal;63;Rosario Central;Soltero;Universitario
449;Luis;35;Racing;Casado;Secundario
450;Alejo;41;River;Soltero;Universitario
451;Enrique;67;Huracán;Casado;Universitario
452;Nicolás;33;Gimnasia LP;Casado;Terciario
453;Federico;54;Gimnasia LP;Casado;Terciario
454;Luis;57;Rosario Central;Soltero;Secundario
455;Federico;26;Velez;Soltero;Terciario
456;Mauro;27;River;Soltero;Universitario
457;Nicolás;34;San Lorenzo;Casado;Terciario
458;Agustín;42;Estudiantes;Soltero;Secundario
459;Matías;49;Gimnasia LP;Casado;Universitario
460;Daniel;38;Rosario Central;Casado;Secundario
461;Alejo;28;Rosario Central;Casado;Terciario
462;Martín;68;Rosario Central;Casado;Terciario
463;Alejandro;31;Independiente;Casado;Terciario
464;Mariano;42;Boca;Casado;Terciario
465;Agustín;41;Velez;Casado;Universitario
466;Mauro;41;Boca;Soltero;Universitario
467;Fernando;47;Independiente;Casado;Secundario
468;Santiago;54;River;Casado;Universitario
469;Mariano;50;Huracán;Casado;Terciario
470;Fernando;69;Gimnasia LP;Casado;Secundario
471;Javier;32;Independiente;Casado;Universitario
472;Mauro;27;Newells;Soltero;Secundario
473;Luis;51;Huracán;Soltero;Terciario
474;Javier;37;Estudiantes;Soltero;Secundario
475;Anibal;56;San Lorenzo;Soltero;Secundario
476;Nicolás;33;Estudiantes;Casado;Universitario
477;Daniel;65;Gimnasia LP;Soltero;Secundario
478;Marcelo;60;Racing;Soltero;Universitario
479;Luis;61;Huracán;Casado;Secundario
480;Marcelo;48;Racing;Casado;Universitario
481;Yago;46;River;Soltero;Secundario
482;Enrique;49;Huracán;Casado;Secundario
483;Federico;45;Huracán;Soltero;Secundario
484;Alejo;30;Huracán;Soltero;Secundario
485;Matías;34;San Lorenzo;Casado;Secundario
486;Mariano;40;Newells;Casado;Secundario
487;Daniel;27;Rosario Central;Soltero;Universitario
488;Alejandro;48;Newells;Casado;Universitario
489;Martín;21;Newells;Soltero;Terciario
490;Agustín;63;Gimnasia LP;Soltero;Terciario
491;Santiago;60;Rosario Central;Soltero;Universitario
492;Federico;32;Boca;Soltero;Terciario
493;Fernando;49;Velez;Soltero;Universitario
494;Luis;67;River;Casado;Terciario
495;Marcelo;44;Velez;Casado;Universitario
496;Mariano;30;Estudiantes;Soltero;Universitario
497;Luis;27;River;Casado;Secundario
498;Yago;21;Racing;Casado;Secundario
499;Enrique;44;Independiente;Soltero;Universitario
500;Daniel;45;Independiente;Soltero;Terciario
501;Mauro;66;Gimnasia LP;Casado;Terciario
502;Juan;58;Newells;Soltero;Terciario
503;Yago;32;River;Soltero;Secundario
504;Fernando;63;Velez;Soltero;Universitario
505;Martín;31;Estudiantes;Casado;Universitario
506;Mariano;55;Huracán;Casado;Terciario
507;Alejandro;25;Independiente;Soltero;Universitario
508;Agustín;30;River;Casado;Terciario
509;Marcelo;59;River;Soltero;Terciario
510;Federico;35;Estudiantes;Casado;Secundario
511;Alejo;43;Independiente;Casado;Terciario
512;Alejo;39;Estudiantes;Soltero;Terciario
513;Mariano;54;Boca;Soltero;Terciario
514;Alejo;59;River;Soltero;Secundario
515;Fernando;68;Boca;Soltero;Terciario
516;Adrián;65;Boca;Soltero;Secundario
517;Federico;42;Huracán;Casado;Secundario
518;Alejandro;41;Boca;Soltero;Secundario
519;Daniel;25;River;Casado;Terciario
520;Matías;40;San Lorenzo;Soltero;Terciario
521;Yago;37;San Lorenzo;Soltero;Terciario
522;Anibal;25;Independiente;Casado;Universitario
523;Santiago;63;Estudiantes;Casado;Universitario
524;Santiago;67;Independiente;Casado;Terciario
525;Santiago;69;Estudiantes;Soltero;Universitario
526;Luis;34;Newells;Soltero;Secundario
527;Anibal;18;Independiente;Casado;Universitario
528;Mauro;19;Rosario Central;Casado;Universitario
529;Adrián;53;Rosario Central;Casado;Universitario
530;Adrián;22;Newells;Casado;Terciario
531;Juan;41;Estudiantes;Casado;Secundario
532;Martín;27;Estudiantes;Soltero;Universitario
533;Alejo;50;Huracán;Soltero;Secundario
534;Luis;47;Gimnasia LP;Casado;Terciario
535;Alejandro;30;Racing;Soltero;Terciario
536;Mauro;59;Gimnasia LP;Soltero;Terciario
537;Nicolás;25;Huracán;Soltero;Terciario
538;Mauro;35;San Lorenzo;Casado;Terciario
539;Daniel;61;Newells;Casado;Terciario
540;Martín;62;Estudiantes;Soltero;Terciario
541;Matías;53;Rosario Central;Casado;Universitario
542;Marcelo;40;Newells;Casado;Terciario
543;Agustín;24;Rosario Central;Casado;Terciario
544;Agustín;19;Boca;Casado;Universitario
545;Marcelo;24;Boca;Casado;Secundario
546;Javier;51;San Lorenzo;Casado;Universitario
547;Adrián;59;Huracán;Casado;Terciario
548;Mariano;58;River;Casado;Universitario
549;Luis;59;Boca;Soltero;Universitario
550;Anibal;53;Estudiantes;Casado;Secundario
551;Mauro;62;Gimnasia LP;Soltero;Terciario
552;Fernando;50;Rosario Central;Soltero;Secundario
553;Fernando;56;Racing;Casado;Terciario
554;Nicolás;25;San Lorenzo;Soltero;Terciario
555;Mariano;37;Racing;Soltero;Terciario
556;Martín;36;River;Soltero;Universitario
557;Javier;39;Racing;Soltero;Secundario
558;Santiago;56;Estudiantes;Soltero;Terciario
559;Santiago;42;San Lorenzo;Casado;Universitario
560;Marcelo;52;Independiente;Casado;Universitario
561;Marcelo;68;Huracán;Soltero;Universitario
562;Nicolás;44;Newells;Casado;Terciario
563;Agustín;43;Boca;Casado;Universitario
564;Daniel;28;Newells;Soltero;Secundario
565;Luis;43;Boca;Casado;Terciario
566;Yago;42;Boca;Soltero;Terciario
567;Alejo;69;Racing;Soltero;Universitario
568;Anibal;20;Velez;Casado;Secundario
569;Nicolás;44;Rosario Central;Casado;Secundario
570;Adrián;42;Estudiantes;Soltero;Universitario
571;Matías;24;Racing;Casado;Terciario
572;Fernando;60;Estudiantes;Soltero;Secundario
573;Javier;20;River;Casado;Secundario
574;Mauro;47;Velez;Soltero;Terciario
575;Agustín;63;San Lorenzo;Casado;Terciario
576;Anibal;63;San Lorenzo;Casado;Universitario
577;Federico;62;Gimnasia LP;Casado;Terciario
578;Fernando;70;Boca;Soltero;Terciario
579;Mauro;67;Newells;Casado;Universitario
580;Juan;68;Estudiantes;Soltero;Universitario
581;Yago;39;Newells;Casado;Universitario
582;Yago;65;San Lorenzo;Casado;Secundario
583;Adrián;28;San Lorenzo;Casado;Universitario
584;Juan;31;Huracán;Casado;Universitario
585;Nicolás;21;Estudiantes;Soltero;Universitario
586;Alejandro;63;Racing;Soltero;Universitario
587;Nicolás;66;Gimnasia LP;Soltero;Secundario
588;Daniel;64;Newells;Casado;Terciario
589;Santiago;38;Newells;Soltero;Universitario
